,Target,Tweet,Stance,Sentiment
0,Joe Biden,imma keep it real with y’all i don’t think the #debates2020 should be on twitch!!!!!!!! 💯💯,NONE,neg
1,Joe Biden,"@USER guess the #cult45 #trumpdrunkmorons can pick their poison... unlike jim jones who only offered one, trump has served up an assortment. #trumpgenocide #ettd #votebluetosaveamerica",NONE,neg
2,Joe Biden,joe “let’s be reasonable guys not everybody can get medicare” biden #demdebate,NONE,other
3,Joe Biden,"pelosi says biden shouldn't debate trump: 'i wouldn't legitimize a conversation with him'

HTTP

we knew this would happen. nothing will make him rise from the basement. the left will scratch, bite, and eat their own rather than face the president!

#maga",AGAINST,neg
4,Joe Biden,"@USER hey @USER, here’s what your own party thinks of you. a billboard paid for by the @USER for the world to see. @USER will win the #2020election HTTP",NONE,other
5,Joe Biden,@USER why is it biden’s job to control trump?  that is the moderator’s job because trump did not follow the rules agreed upon by his campaign.  chris wallace couldn’t control trump and biden took the high road.,NONE,neg
6,Joe Biden,@USER nancy pelosi and the others democrat leaders just think that american people is stupid. this is rude and too un respectful againts people. you are a lier @USER #trump #trump2020 #maga #kag2020 #fourmoreyears,AGAINST,neg
7,Joe Biden,"can we get a sanders v. warren battle yet? we’ve seen every other fight, but warren needs to take the gloves off against sanders (more than just commenting on online supporters). #demdebate",NONE,other
8,Joe Biden,"just a reminder that local races matter now more than ever! 

take a minute today to confirm/update your voter registration, get info on upcoming elections, and make sure you have a plan to vote! 📮🇺🇸 #2020election #massachusetts #votema HTTP",NONE,pos
9,Joe Biden,can someone point me to the nearest antifa headquarters so i can sign up? who's the local leader? is there an email for antifa? #maga #debates2020 #trump2020 #bidenharristosaveamerica,FAVOR,other
10,Joe Biden,"new nickname for biden.  #bidenstein he’s a puzzle of candidates.  plagiarizing trump’s buy american policy, bernie’s yelling, elizabeth warren’s lying. more scary than funny #bidenharris2020tosaveamerica #amjoy #2020election @USER @USER @USER #foxnews",AGAINST,neg
11,Joe Biden,"@USER “they will turn your kids gay right before antifa brainwashes jesus into eating your kids’ brains.”
-#rnc2020",NONE,neg
12,Joe Biden,@USER typical. i don't know why nobody stands up to these turds. #dumptrump,FAVOR,neg
13,Joe Biden,@USER trump lobbied to have disabled vets food trucks removed from outside his building. a right vets had preferred status for since returning from the civil war.,NONE,other
14,Joe Biden,"comment: polls are showing that biden is in the lead over trump. they are saying that the debates will have an influence on the outcome. trump is highly respected by leaders of other nations, is recommended for noble peace prize. biden has the personality",NONE,pos
15,Joe Biden,"@USER @USER i’m all for third party options. but give the fact that everyone is literally voting for either trump or biden, it’s going to be equivalent to voting for trump or no vote at all 😔",NONE,other
16,Joe Biden,"donald trump successfully created a new “american enemy”, china.
HTTP

#trump #trumptaxreturns #trumpknew #trumpriots #trump2020 #bidenriots #biden #biden2020 #usa #usapolitics #democrat #democratsaredestroyingamerica #republicans #europe #europeanunion",NONE,neg
17,Joe Biden,arrest made in viral hate crime against 7 year old boy with maga hat HTTP,NONE,neg
18,Joe Biden,"loved seeing openly lgbtq elected officials @USER, @USER, and @USER assist in delivering the 2020 democratic convention keynote 🇺🇸 🏳️‍🌈 #demconvention #keynote #bidenharris2020",FAVOR,pos
19,Joe Biden,"hey @USER why isn't $2048 an ounce for #gold a news alert? over 27,000 dow? @USER @USER #trump2020 #maga #kag! #money #goldprices HTTP",NONE,other
20,Joe Biden,@USER screw you #democraticnationalconvention #trump #trumpisanationaldisgrace #trumpvirus #dncconvention #wethepeople #biden2020tosaveamerica,FAVOR,neg
21,Joe Biden,"@USER @USER it never fails, they always play the victim and cry. she had the audacity to ask for a female officer. 🤡 #trump2020",AGAINST,neg
22,Joe Biden,@USER taylor swift wants attention and votes democrats because her payroll depends upon them #trump2020,AGAINST,neg
23,Joe Biden,at @USER.havasu.cigars getting ready to watch the debate rocking my bad ass new hat compliments of @USER gracias hermano! #jeremyjack #jeremyjackcigars #jj23 #trump #maga #lakehavasu #az #arizona #potus HTTP,NONE,pos
24,Joe Biden,@USER a lot of #gop #senators are going to have to figure out where the #moneymaker is going to come from without the @USER lining their pockets,NONE,neg
25,Joe Biden,"@USER + @USER + @USER + @USER = the a team 

#biden #election2020 #bernie #obama #warrenendorsesbiden #joebiden #presidentbiden #votebluetosaveamerica #voteblue2020 #notmeus #bluewave2020 #unitedasone #southasian #asian #electionsmatter #novemberiscoming HTTP",FAVOR,pos
26,Joe Biden,watching #gma is like a #dnc commercial. so shameful. #fakenews,NONE,neg
27,Joe Biden,@USER we are witnessing that anyone with a half a brain can control people’s thoughts! #trump2020,AGAINST,neg
28,Joe Biden,@USER who could’ve guessed the party that’s so woefully inept at governing it couldn’t create a plan to repeal &amp; replace obamacare in 8 years would completely wilt under pressure dealing with a pandemic health emergency? #resist #votebluetosaveamerica #knowyourdeplorables,NONE,neg
29,Joe Biden,@USER @USER @USER @USER @USER @USER and joe biden is 1 trillion in debt. easy to pull random numbers out my ass with no sources.,NONE,neg
30,Joe Biden,joe has got to get into this fight! oh man! #democraticdebate,NONE,other
31,Joe Biden,"@USER i no longer listen to dr. scarf.
she has sold her soul to trump.
i believe nothing coming out of this wh.

#votebluetosaveamerica",NONE,neg
32,Joe Biden,"kamala harris' dnc speech claimed a new moment for progressive democrats
HTTP
 #leftwing #politics #democrat #bernie",NONE,pos
33,Joe Biden,"this is the america the #democrats desire. disgusting.
#walkawayfromdemocrats #maga2020 #maga
HTTP",AGAINST,neg
34,Joe Biden,"i find it strange that djt would never hire someone at his businesses without a resume stating qualifications...but he thinks his ""resume"" qualified him to be the leader &amp; commander in chief of the usa. 🤔🤔🤔
#votebidenharristosaveamerica #bidenharris2020landslide 
#biden2020",FAVOR,other
35,Joe Biden,#democratic #whitehouse contender biden says he would pick a woman as vice president HTTP,NONE,other
36,Joe Biden,shit. shitty. shit. show. #presidentialdebate2020 #dumptrump #notmypresident #makeamericanotrussiaagain #shutupman,NONE,neg
37,Joe Biden,"@USER you should do what feels right, you're the one who is going to have to live with your decision ultimately.
personally i see no reason to vote biden though",AGAINST,other
38,Joe Biden,"biden says he will focus on truth, here is the problem.  HTTP",AGAINST,neg
39,Joe Biden,"@USER #maga 
white evangelicals are the biggest suckers in america. from tv preachers, #blacksfortrump steve bannon and the my pillow guy, grifters see working-class whites as marks, pigeons, and johns to be fleeced.",AGAINST,neg
40,Joe Biden,"the rats scotus plan is awful, a truly balanced supreme court would be 4 communists, 4 socialists, and 4 social democrats #demdebate",NONE,neg
41,Joe Biden,"@USER thank you president trump! last night was amazing! you know what, nancy is livid, she just might have a stroke 🥱😉#nevadafortrump #trump2020",AGAINST,pos
42,Joe Biden,"@USER @USER enjoy!

please #followback everyone who rt’s this short (1:36), upbeat video 

#voteblue 
#votebidenharris2020 
- “kamala and joe” - 
(remember to click “thumbs up”.)

thanks! 

HTTP",FAVOR,pos
43,Joe Biden,america's ceos say trump failed on coronavirus -- and they're backing biden HTTP,FAVOR,neg
44,Joe Biden,"@USER by this time in nazi germany ted here would be showing up to be fitted with a uniform. 
gop want one party rule. they will lie cheat steal burn our constitution to achieve that end. gop want to rule not govern.
#votelikeyourlifedependsonit because it does.
#votebluetosaveamerica",FAVOR,neg
45,Joe Biden,"@USER one simple slogan, ""keep america great""!  #trump2020",AGAINST,other
46,Joe Biden,"kneeling for the flag is against our military.

calling our fallen soldiers, pow, and soldiers losers and suckers is perfectly ok

trump logic! #maga dont deserve this country. #maga2020 voters should be deported the day of bidens inauguration for their hatred of america.",FAVOR,neg
47,Joe Biden,@USER @USER this just feels like an excuse to publically wet willie joe biden.,NONE,neg
48,Joe Biden,"is the rnc going to march out every trump voter?

newsflash: 
lies don't sway people who read

#noplatform 
#boring 
#votebluetosaveamerica HTTP",FAVOR,neg
