,Target,Tweet,Stance,Sentiment
0,Bernie Sanders,"""We are going to end the outrageous level of voter suppression happening all over, coast to coast."" #BernieInCA #Bernie",FAVOR,pos
1,Bernie Sanders,"It's okay, guys. He'll be acquitted... And then we will ABSOLULTELY FUCKING CRUSH HIM. #Bernie",AGAINST,other
2,Bernie Sanders,Holy crap. This is truly a surprise to me. I wish I could believe that she'd actually follow through on this. But I don't. Stick with the original: #MedicareForAll #Medicare4All #Bernie,FAVOR,pos
3,Bernie Sanders,I believe not only in the possibility of peace but in its inevitability as long as we hold-fast together. As we take the power for war out of the hands of those who benefit from it we place the power for peace into OUR hands. #NotMeUs #Bernie the principles are the same,FAVOR,pos
4,Bernie Sanders,Pity the Guardian did not raise the key reason @DNC do not support M4All...they are paid not to. Healthcare companies don't want it because it undermines their profits or even puts them out of business. System broken. Vote them out #usapoli #corruption #Bernie,FAVOR,neg
5,Bernie Sanders,"Conservatives: look over there, Communists and Mexicans! Clintonian Libs: look over there, misogynists and racists! Bernie: look here, policy A, policy B, policy C... policy, policy, policy.",FAVOR,neg
6,Bernie Sanders,NewYork State so full of Shale has banned all fracking in the State and California is still fracking and is supposed to be the leader in environmental issues! What gives?! Come on California we must ban all fracking to reach our emission goals under the Green New Deal #Bernie,FAVOR,other
7,Bernie Sanders,. @BernieSanders can still run for President even if we are screwed over again and our opponent wins the nomination. I will be voting for #BernieSanders in the general election,FAVOR,pos
8,Bernie Sanders,"Oh this is great, I was tossing and turning at night thinking... these poor health insurance companies arent making enough money. @Aetna @HorizonBCBSNJ #MedicareForAll #Bernie",FAVOR,pos
9,Bernie Sanders,The Working Families Party is one group. It is allowed to endorse anyone and it can be just as wrong as any other group. Back to work. #BernieSandersforPresident #Bernie,FAVOR,other
10,Bernie Sanders,FJG will send me from one dead end job that i cannot pursue my chosen career path to another dead end job that i cannot pursue my chosen career path... This is by far NOT progress. #Bernie Please stop. I don't want to work for you.,FAVOR,neg
11,Bernie Sanders,"#Bernie Will Also Declare #WaronPoverty Winning Would Mean an End To Homelessness,Hunger,Debt From Illness or,Education,Hopelessness etc. What A Wonderful World For All , We , You &amp; Me Too . Supports What Will Do Just That!",FAVOR,pos
12,Bernie Sanders,But... but... I just read a story from @politico that said #Bernie was in trouble.,AGAINST,neg
13,Bernie Sanders,"How?? Everybody I know, knows for a fact, that it's @BernieSanders in 2020 , or it's 4 more years of a @GOP Whitehouse! &amp; I live in TENNESSEE!! It has to be #Bernie .",FAVOR,other
14,Bernie Sanders,Bernies all about #NoMiddleGround thats why when he says he wants to end the war on drugs he actually means he only wants to legalise marijuana and not legalise any other drugs meaning actually he only wants to end the war on weed not end the war on drugs.,FAVOR,neg
15,Bernie Sanders,Frankly I still like Liz a lot. But it is becoming pretty obvious why she doesnt scare Wall Street... #Bernie,FAVOR,other
16,Bernie Sanders,Everyone should go watch this video and keep an open mind when voting!!! #BernieSanders,FAVOR,pos
17,Bernie Sanders,I just...I am stunned. That hit right to my core. I just...I love this campaign and the energy it brings #Bernie,FAVOR,pos
18,Bernie Sanders,No one should have to die because they can't afford to live. #Bernie,FAVOR,neg
19,Bernie Sanders,"Deep breath Exhale Deep breath Exhale Now repeat after me... ""President Bernie Sanders"".... #BernieSanders",FAVOR,pos
20,Bernie Sanders,Bernie run as an independent dont run as a democrat! They wont support youas always @BernieSanders @SenSanders #independent,FAVOR,neg
21,Bernie Sanders,"#BernieSanders fam, we need to show some of our love to @ShahidForChange bc we will need strong allies when #Bernie is president, and @SpeakerPelosi is nor one of them. They say Bernie can't help downticket, let's prove them wrong.",FAVOR,pos
22,Bernie Sanders,"She seemed so genuine, & sincere, I mean, with that big beautiful smile! #MedicareForAll is #BerniesGig #IdRatherBern #Bernie",FAVOR,pos
23,Bernie Sanders,Has nobody noticed #BernieSanders holds on to every 1 of his 43% supporters from 2016 while Hillary's 47-55% is now divided 10 ways to Sunday? Consistent policy is why. Keep blaming his Russian supporters &amp; their attitudes. We dont need your vote is what hers said. #MedicareForAll,FAVOR,other
24,Bernie Sanders,Leave #Bernie #BernieSanders Bernie alone Hillary. Bernie is not Putin's puppet. Bernie is a Trotskist.,FAVOR,neg
25,Bernie Sanders,#BernieSanders clearly the frontrunner and the only candidate last night free from big monied donors.,FAVOR,pos
26,Bernie Sanders,"I just donated another $27, thanks for standing up for working people #Bernie",FAVOR,pos
27,Bernie Sanders,"'It Always Seems Impossible Until it Is Done': Bernie Sanders, at Detroit Rally With Rashida Tlaib, Calls on Audience to Believe in a Better Future - via @commondreams",AGAINST,pos
28,Bernie Sanders,nope Nope Nopity NOPE We WILL have #MedicareForAll whether he likes it or not Because we understand &amp; embrace #BernieSanders,FAVOR,pos
29,Bernie Sanders,"feeling the bern this morning as we casted our vote for the democratic nominee who has been fighting for these ideas and rights of climate change, healthcare, womens rights, gun control and equality since he was 18 years old! #iVoted #BernieSanders",FAVOR,pos
30,Bernie Sanders,Vote #BernieSanders in the primary! Don't wait until the general to cast your vote please. Thank you!,FAVOR,pos
