,Target,Tweet,Stance,Sentiment
0,Joe Biden,"Joe gives us solutions. Joe gives us a clear path forward while we navigate this global crisis. The next Commander-In-Chief, everyone #Twill",FAVOR,pos
1,Joe Biden,Precisely. #VoteByMail is not a partisan issue. It's a potentially life-saving issue. @senatemajldr - call for a vote on the damn bill. #Biden,FAVOR,pos
2,Joe Biden,#Nebraska for #Biden Virtual Game Event! Join us on zoom tomorrow (Sunday) at 1pm for some family fun and to hear important organizing updates. RSVP: #LNK #LNKDems,FAVOR,pos
3,Joe Biden,Just got to meet @JoeBiden and thank him for his support of same sex marriage in 2012. I dont think my husband and I wouldve been able to get married if it werent for him. #RidinWithBiden #Biden @JoeForNV,FAVOR,pos
4,Joe Biden,Love to see this! Fighting for the soul of our nation! #IACaucus #JoeBiden,FAVOR,pos
5,Joe Biden,"Friends! #Biden and @GovJohnLynch will be celebrating the opening of our Manchester office with a party and a potluck all in one! Bring a friend, bring food, and come join us! We cant wait to meet everyone!! #NHPolitics",FAVOR,pos
6,Joe Biden,The more this goes on the more I think a lot of people (and bots) are really scared that Klobuchar is the one who can seal the deal for Joe Biden.,FAVOR,neg
7,Joe Biden,"YES, #JoeBiden NEVER wavered, we always knew Joe would be our standard bearer.",FAVOR,pos
8,Joe Biden,Ive got my ticket! Looking forward to @JoeBiden and @BarackObama virtual event next week!,FAVOR,pos
9,Joe Biden,I am personally thanking the @JoeBiden campaign for the J- O-Y campaign!! What a relief I LOVE IT! #SoulSquad #WomenforBiden #WomenforJoe,FAVOR,pos
10,Joe Biden,My mum and dads commentary isnt always the best sorry @Joe_Sugg good luck #JoeBiden all the way!!,FAVOR,pos
11,Joe Biden,Thats what a MAN does. Thats what a PRESIDENT does #IBelieveBiden #Biden,FAVOR,pos
12,Joe Biden,Lets be clear that the Republicans are afraid of another Obama presidency...and they think @JoeBiden is the candidate that will make it happen. #ProudObamaAlumni,FAVOR,other
13,Joe Biden,I wonder how many people jumping on #JoeBiden know that their team comes with a huge list of corporate sponsors ??,AGAINST,other
14,Joe Biden,Did Jeeves put that on the lawn for you?? (I ordered one last night!! #JoeBiden ),FAVOR,pos
15,Joe Biden,#RidinWithBiden #JoeBiden #FloridaPrimary .@JoeBiden @MikeBloomberg @SuMoh7 Florida voters can pick up vote by mail ballot at their county supervisor of elections office...,FAVOR,other
16,Joe Biden,Thank you @BarackObama! I am happy to be supporting @JoeBiden and cant wait for the Obama Coalition to be reunited! #FiredUp,FAVOR,pos
17,Joe Biden,That opens up Captain Crozier position to be Secretary of the Navy. #BlueWave2020 #Biden,FAVOR,pos
18,Joe Biden,"There are no days off for #Biden with so much at stake in this election. We are organizing in every corner of Iowa to elect @JoeBiden! We need a leader who can restore, rebuild and unify America",AGAINST,pos
19,Joe Biden,The American We Should Be vs The America We Are Now #BidenCoalition #JoeBiden,FAVOR,other
20,Joe Biden,"The thought of all those grandchildren and grandparents, siblings and cousins, neighbors, and strangers in need who will mark their Passover seders alone this year tears at our hearts Thank you Joe! #jews4joe #jews4Biden #Passover2020",FAVOR,pos
21,Joe Biden,"ICYMI #2 for this Monday morning: Ned Helms, a health care professional with over 30 years of experience >> Biden can finish journey to affordable health care Read more: #nhpolitics",FAVOR,pos
22,Joe Biden,"Its #NationalIceCreamDay! No matter your political leanings, parties, or allegiances, I think we can all agree @JoeBiden has it right, one scoop is never enough! #Biden @TeamJoe #IceCreamDay #icecream",FAVOR,pos
23,Joe Biden,The path to 270 goes right through Texas where 38 election ending electoral votes reside and where Beto got half a million Republican to vote for a Democrat running on an assault weapons #TheLoneStar38 #FlipTexasBidenBlue #JoeBiden,FAVOR,other
24,Joe Biden,"Two days to go, and #JoeBiden are ready to get back on your screens. Will they remain safe this week?",FAVOR,other
25,Joe Biden,#MondayMood Joe Biden support slips below 30 percent in new poll #BidenWatchPHL,FAVOR,neg
26,Joe Biden,#NewYork Come join #TeamBiden and Ithaca Mayor @SvanteMyrick for our virtual community event this Saturday at 4 PM Eastern as we discuss different ways New Yorkers can get involved in the campaign. RSVP at this link: #JoeForNY,FAVOR,pos
27,Joe Biden,"Attention everyone! I got a proposition for you. These are the following PAW Patrol characters. As you can see, they are dressed up as Steve and Joe from Blue's Clues! Which one of them do you admire more? #teamSteve",FAVOR,other
28,Joe Biden,"@JoeBiden is the leader for the time we've found ourselves in. A restorer of norms. Empathetic, genuine and a patriot.",FAVOR,pos
29,Joe Biden,"I cant think of anything more important to do this morning than knock on doors for @JoeBiden here in the #fitn state! Join #Biden to restore, rebuild, and unite our country!",FAVOR,pos
30,Joe Biden,"don't want to rush time, but please hurry up Jan 2021, we need Joe now... @JoeBiden",FAVOR,pos
31,Joe Biden,"Hi. My name is Val. I'm a #recoveringrepublican. When I call voters for #JoeBiden I hear angst, urgency. They don't just want Joe for President. They want a leader who's competent, decent &amp; serious. Joe believes America can come back better. I do too. #VoteBlue2020",FAVOR,pos
32,Joe Biden,Just me & my dogs Had so much fun at Burgers with Biden this evening in Dover!! RSVP below for more fun #Biden events this week: #fitn,FAVOR,pos
33,Joe Biden,"Happy Saturday fellow resister friends, please give these 2 awesome #Biden members a follow, they have reached out for a boost. @TheRealAndrew_ @namelessism Thank you and onward to victory!",FAVOR,pos
34,Joe Biden,Bringing in all the heavy hitters. Remember @K_JeanPierre from the Obama 2012 campaign at HQ! Leggo #JoeBiden,FAVOR,other
35,Joe Biden,"I hope people who are on the fence about Joe will consider his history, his record, the lessons hes learned the hard way, the loss hes experienced and how he didnt give up. That is Joe Biden. He will be our 46th President and help us find our way again. #Fresh",FAVOR,pos
36,Joe Biden,"#WednesdayThoughts Joe Biden will be the last one to acknowledge it but his presidential campaign is slippin' into darkness. BTW, War's song was a hit in , the same year Biden was first elected to the U.S. Senate. #ByeJoe",AGAINST,other
37,Joe Biden,"5/26 Tue 7:30p EDT Virginia #Biden AAPI Mtg w #KhizrKhan Im attending Joe Biden for Presidents event, Virginia Virtual AAPI Heritage Month celebration with Khizr Khan sign up now to join me! #DemCast #GoJoe2020 #DemCastBiden",FAVOR,pos
38,Joe Biden,Apoyo con entusiasmo a Joe Biden para Presidente. El siempre ha tenido el bienestar de nuestras familias en la mira. Excited to endorse Biden because he'll keep looking out for everyday families 24/7 and restore dignity to the White House.,FAVOR,pos
39,Joe Biden,Keeping voters informed on all the great thing Joe will do for our country! #FITN,FAVOR,pos
40,Joe Biden,"I'm on #Biden because he has a plan to protect and build on the Affordable Care Act by giving Americans more choice, reducing health care costs, and making our health care system less complex to navigate. #WhyImVotingForJoe",FAVOR,pos
41,Joe Biden,Listening to @JoeBiden speaking from the heart about faith. We really need you in our White House. #HappyEaster,FAVOR,pos
