,Target,Tweet,Stance,Sentiment
0,Donald Trump,#DictatorDon does NOT like to be contradicted in his misinformation campaign. #TrumpistheNationalSecurityThreat #Trump,AGAINST,neg
1,Donald Trump,"OMG, so much yucky Trumpiness here. Starting w/male Trump-patterned hair weirdness. On to the over-sized, ill-fitting overcoats, they look like Lubivitchers I used to share the F train with in Brooklyn. Ivanka in the chinchilla .... what can I say? #BeBestest",AGAINST,neg
2,Donald Trump,The one inventing the facts to suit his needs is your father #trumpliarinchief #Trump #complicitgop #moscowmitch #jaredkushner get your facts straight first and stop pushing fake tweets.,AGAINST,neg
3,Donald Trump,"Andrnico Luksic will benefit from a Trump Administration reversal allowing him to mine in the Minnesota wilderness, a Chilean businessman also owns the $5.5 million Washington mansion leased to Ivanka Trump &her husband Jared Kushner.",AGAINST,other
4,Donald Trump,I bet the deal Trump offered France was the same as the one he offered Kim and Putin - a government financed #TrumpHotels somewhere. #WakeUp #StopTrump,AGAINST,neg
5,Donald Trump,Tell us something we didnt know. Bribery Corruption Obstruction. Thats his MO. #Trump,AGAINST,neg
6,Donald Trump,"@tedcruz The lack of trained inspectors, the reduction in the numbers of required inspections, and relaxed regulations under this CORP GREEDY WH has led to more oil, gas, and LNG explosions than ever before. 60,000 people are STILL evacuated from their homes! #Trump",AGAINST,neg
7,Donald Trump,I heard you are going to run in 2020 I suggest you run now while you can As fast as you can As far as you can #RememberKatieJohnson #Trump,AGAINST,other
8,Donald Trump,Ha ha ha!! @DonaldJTrumpJr is just as big a failure as daddy. This is hilarious. #trumptanic #TrumpHatesMilitaryFamilies #worthlesshumans,AGAINST,neg
9,Donald Trump,Vote for @KimMangone Beat corrupt McCarthy! Kim will fight for us not the #Trump,AGAINST,other
10,Donald Trump,Great new acronyms below. My favorite is POTUS = Putin Owns The United States #impeach #resistance #Trump,AGAINST,pos
11,Donald Trump,The Fed on Wednesday is expected to cut that rate to counter what it sees as threats to the U.S. economy ranging from uncertainties caused by #DonaldTrumps trade conflicts to persistently subpar inflation to a darkened global outlook.,AGAINST,other
12,Donald Trump,@MarkAmodeiNV2 Brian - this wussy is spineless. The word eunuch comes to mind about Amodei. #BenedictDonald #OustAmodei #Trump,AGAINST,neg
13,Donald Trump,"""We need to live up to our ideals and values, enforce our laws, and find a path forward..."" Oh, I thought you were going to say something about putting a stop to the #Trump corruption there for a moment. #impeachment",AGAINST,neg
14,Donald Trump,Any one surprised? #Trump Pro-Trump super PAC paid thousands to firm owned by Brad Parscale's wife,AGAINST,other
15,Donald Trump,At least he wont be living in a jail cell where youre headed. Most peoples bets are that youre being indicted next. Or Jared. What are your thoughts? #TraitorsAll #LockHimUp #Trump,AGAINST,neg
16,Donald Trump,Lets see those TAX RETURNS now that youre not under an IRS audit anymore. #Trump,AGAINST,other
17,Donald Trump,Vlad must be done with him. I personally can't wait for #DonnieDimwit to figure out he's expendable. Hope Putin's got a place for #Trump in Siberia.,AGAINST,neg
18,Donald Trump,No negative interest rates for Trump! Vote all Republicans out of office! #WorstPresidentEver #FakeBillionaire,AGAINST,neg
19,Donald Trump,Any legislature allocating $$$while #Trump and are still in power will end up with massive amts of that $$$in their pockets. We need to hold off until he is arrested.,AGAINST,neg
20,Donald Trump,"Oh DO tell us who these many legal scholars, are, Spanky Von DoubleDown! Does it mean that your three kids with your first wife will get kicked out too? #TrumpIsAMoron #TrumpIsTooScaredToTalkToMueller #TrumpIncitesViolence #Trump",AGAINST,neg
21,Donald Trump,"Gee, who would have thought that a lifelong fraud who was ordered by a judge to take a class in how not to rip off her own family charity like a sociopath was also a privileged hypocrite? #Trump",AGAINST,neg
22,Donald Trump,"Junior's keeping his head low. #Cohen spilled the beans yesterday about #TrumpRussiaCollusion, probl'y proving Junior lied to Congress, a big no-no. Even if it's only a lame duck @GOP #Congress. #MuellerIsComingForYou",AGAINST,neg
23,Donald Trump,Your porn wife already expressed the feelings your #Trump has for us so don't bother to think or pray. We already know you really don't care. I believed it even before the jacket but today clinched it with her thanking ICE for deportations. You call press enemy daily.,AGAINST,neg
24,Donald Trump,"Those who have nothing to hide, hide nothing. What is @realDonaldTrump trying to hide? #Fraud?",AGAINST,neg
25,Donald Trump,@realDonaldTrump this is literally the only plan you have... To save your own ass! #WeSeeYou #TrumpPressConf,AGAINST,neg
26,Donald Trump,The word that comes to mind about @realDonaldTrump is THUG... #MuellerIsComing for,AGAINST,neg
27,Donald Trump,WHY @washingtonpost ? PROPAGANDA???? The Trump administration is taking bold action to combat the evil of human trafficking By Ivanka Trump,AGAINST,neg
28,Donald Trump,"#projection ALWAYS when a member of #Trump accuses ANYONE of ANYTHING it's b/c one or more members of the is guilty of that. #DonTheCon is under personal investigation for charity fraud, tax fraud, ripping off customers &amp; employees etc. #CORRUPTION",AGAINST,neg
29,Donald Trump,You know nothing about anything... they will all be kneeling! #Trump,AGAINST,neg
30,Donald Trump,"And how much $$does #Trump divert for your vanity projects. Stolen military housing money, claimed you bulked it up, only to steal for useless wall.",AGAINST,neg
31,Donald Trump,You're lying but what's new. You fail to take responsibility for your lack of action regarding #COVID19 #TrumpIsACompleteFailure #Trump #VoteBlueToEndThisNightmare &amp; show the the door before they totally bankrupt our country,AGAINST,neg
32,Donald Trump,"@IvankaTrump @DonaldJTrumpJr @realDonaldTrump @POTUS @WhiteHouse This is epic. Stripey furs, plastic bags of some type of fluid, Russian oligarchs, Trumps... #Individual1 #MuellerKnowsEverything #TrumpTowerMoscow",FAVOR,other
33,Donald Trump,Attorney General Bill Barr is a rotten piece of [REDACTED.] #MuellerReport #BillBarr #Trump,FAVOR,neg
34,Donald Trump,yeah - she's a real winner. JFC all the worst scumbags are in this White House 77k+ DEAD BECAUSE OF DUMB DONNY #PutinsTrojanHorse #Trump,FAVOR,neg
35,Donald Trump,.@RepJohnCurtis Thank you for your continued responses to my questions and/or concerns. Also 4 standing firm on the #MuellerInvestigation as It is my belief that it's the single most important thing happening in our country. #CountryOverParty #utpol #UTD3 #Trump,AGAINST,pos
36,Donald Trump,Hopefully one day we'll see a similar scene where this criminal Trump is pulled out of Trump Tower by police.,AGAINST,other
37,Donald Trump,"When the #ObamaCommencement2020 speech begins tonight (May 16 2020) #Trump trolls, bots, and stupid people will likely be out in force... The best response is NOT to engage these attacks b/c doing so helps amplify their evil... Best practice is ignore, block, report...",AGAINST,neg
38,Donald Trump,Can we end this horrific night mare once and for allllllllllll?!?!? #ImpeachmentHearingsNow #NotMyPresident #TrumpObstructed #Trump,AGAINST,neg
39,Donald Trump,All roads lead to Russia and Putin! Wake the f*ck up America! #Trump,AGAINST,neg
40,Donald Trump,"Youre right! Eric said they get all the money they need from Russia, and Don Jr said a disproportionate amount of their business comes from Russia. Its easy to confuse them when theyre all in Putins pocket. #Trump is very real.",AGAINST,other
41,Donald Trump,"This morning, Trump FINALLY admitted that most people already knew about: Russia played a big role in electing him in 2016 and will likely do so again in his 2020 re-election bid.",AGAINST,other
42,Donald Trump,Yes unfortunately we do .. #Trump #GOP need Supreme Court padded to benefit them after the full scale of justice appropriately finds them guilty of the many many &amp; crimes.,AGAINST,neg
43,Donald Trump,"If you read nothing else tonight, this is a critical MUST READ! If true, it crosses all the ts and dots all the is in understanding the #GOP #Trump and #Republican treachery. @maddow @Lawrence @JoyAnnReid",AGAINST,pos
44,Donald Trump,"How about being a strong voice against the assault on our democracy and criminality of this administration?? Democrats should be dominating the airwaves, calling for his impeachment and imprisonment. #Treason #Trump",AGAINST,neg
45,Donald Trump,"Congratulations mr. *president- each endorsement by shrieking 119mph scofflaw Pirro is a completely self-pwn'd shot into your own dragging right foot. Ace move, Joker. #epstein #cagedKids #GOPtaxScam #Trump",AGAINST,neg
46,Donald Trump,"On such a disappointing afternoon, your thoughts truly give a bit of comfort. I believe in the press. They have lit candles in the dark through #Trump",AGAINST,other
47,Donald Trump,#JeffSessions gets the blame for #Trumps harsh zero tolerance policy at the border where two migrant children have died in federal custody. #alpolitics #migrants,AGAINST,neg
48,Donald Trump,Haha says the lying Russian collaborator who can dish it out but not take it. The only thing you seem to take is Russian money & Putins orders #TrumpTowerMeeting #Trump,AGAINST,neg
49,Donald Trump,It's why so many leftists believed the #Trump conspiracy and why 85% of registered Republicans intend to vote for Donald Trump.,FAVOR,other
